Name	ScopeWizard	
File	D:\HV-filesync\xizh0002\Documents\TcXaeShell\MonoPLC\MonoPLC\SideEffectPLC\Scope Project.csv	
Starttime of export	134188735896190000	Wednesday, March 25, 2026	01:53:09.619
Endtime of export	134188737266590000	Wednesday, March 25, 2026	01:55:26.659


Name	Diag_CycleCount	Name	Diag_CycleExecTime_us	Name	Diag_EventBusDepth	Name	Diag_EventsThisCycle	Name	Diag_MaxExecTime_us
SymbolComment	 累计 cycle 数	SymbolComment	 上一 cycle 实际执行时间 (us)	SymbolComment	 cycle 开始时队列深度	SymbolComment	 本 cycle 处理的事件数	SymbolComment	 历史最大执行时间 (us)
Data-Type	UINT32	Data-Type	REAL64	Data-Type	INT16	Data-Type	INT16	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	4	VariableSize	8	VariableSize	2	VariableSize	2	VariableSize	8
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448
IndexOffset	481600	IndexOffset	481584	IndexOffset	481580	IndexOffset	481574	IndexOffset	481592
SymbolName	GVL.Diag_CycleCount	SymbolName	GVL.Diag_CycleExecTime_us	SymbolName	GVL.Diag_EventBusDepth	SymbolName	GVL.Diag_EventsThisCycle	SymbolName	GVL.Diag_MaxExecTime_us
NetID	199.4.42.250.1.1	NetID	199.4.42.250.1.1	NetID	199.4.42.250.1.1	NetID	199.4.42.250.1.1	NetID	199.4.42.250.1.1
Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

0	1441	0	35,1	0	0	0	1	0	5329,9
10	1442	10	41,4	10	0	10	1	10	5329,9
20	1443	20	42,2	20	0	20	1	20	5329,9
30	1444	30	40,3	30	0	30	1	30	5329,9
40	1445	40	44,3	40	0	40	1	40	5329,9
50	1446	50	45,3	50	0	50	1	50	5329,9
60	1447	60	49,5	60	0	60	1	60	5329,9
70	1448	70	99	70	0	70	1	70	5329,9
80	1449	80	50,2	80	0	80	1	80	5329,9
90	1450	90	42,8	90	0	90	1	90	5329,9
100	1451	100	48,8	100	0	100	1	100	5329,9
110	1452	110	46,9	110	0	110	1	110	5329,9
120	1453	120	44,8	120	0	120	1	120	5329,9
130	1454	130	40,7	130	0	130	1	130	5329,9
140	1455	140	46,3	140	0	140	1	140	5329,9
150	1456	150	33	150	0	150	1	150	5329,9
160	1457	160	51,6	160	0	160	1	160	5329,9
170	1458	170	52,5	170	0	170	1	170	5329,9
180	1459	180	47,4	180	0	180	1	180	5329,9
190	1460	190	53,8	190	0	190	1	190	5329,9
200	1461	200	143,9	200	0	200	1	200	5329,9
210	1462	210	52,7	210	0	210	1	210	5329,9
220	1463	220	53,5	220	0	220	1	220	5329,9
230	1464	230	51,7	230	0	230	1	230	5329,9
240	1465	240	53,4	240	0	240	1	240	5329,9
250	1466	250	47,4	250	0	250	1	250	5329,9
260	1467	260	29	260	0	260	1	260	5329,9
270	1468	270	33,4	270	0	270	1	270	5329,9
280	1469	280	46,4	280	0	280	1	280	5329,9
290	1470	290	28,7	290	0	290	1	290	5329,9
300	1471	300	26,1	300	0	300	1	300	5329,9
310	1472	310	30,4	310	0	310	1	310	5329,9
320	1473	320	27,1	320	0	320	1	320	5329,9
330	1474	330	33,5	330	0	330	1	330	5329,9
340	1475	340	30,4	340	0	340	1	340	5329,9
350	1476	350	26,9	350	0	350	1	350	5329,9
360	1477	360	43,9	360	0	360	1	360	5329,9
370	1478	370	40	370	0	370	1	370	5329,9
380	1479	380	36,9	380	0	380	1	380	5329,9
390	1480	390	48,2	390	0	390	1	390	5329,9
400	1481	400	28,1	400	0	400	1	400	5329,9
410	1482	410	27,6	410	0	410	1	410	5329,9
420	1483	420	31,6	420	0	420	1	420	5329,9
430	1484	430	47	430	0	430	1	430	5329,9
440	1485	440	41,4	440	0	440	1	440	5329,9
450	1486	450	44,5	450	0	450	1	450	5329,9
460	1487	460	42,9	460	0	460	1	460	5329,9
470	1488	470	47,8	470	0	470	1	470	5329,9
480	1489	480	28,9	480	0	480	1	480	5329,9
490	1490	490	44,6	490	0	490	1	490	5329,9
500	1491	500	30,2	500	0	500	1	500	5329,9
510	1492	510	30,3	510	0	510	1	510	5329,9
520	1493	520	29,9	520	0	520	1	520	5329,9
530	1494	530	33,6	530	0	530	1	530	5329,9
540	1495	540	25,6	540	0	540	1	540	5329,9
550	1496	550	23,9	550	0	550	1	550	5329,9
560	1497	560	46,5	560	0	560	1	560	5329,9
570	1498	570	27,2	570	0	570	1	570	5329,9
580	1499	580	44	580	0	580	1	580	5329,9
590	1500	590	25,2	590	0	590	3	590	5329,9
